time	distance	speed
16967502.067487594	74038278495.22626	38448.94879902667	
17155884.410731852	72179212854.6718	39294.94591552999	
17336450.33038217	70265045308.94847	40214.74433261936	
17519187.75806631	68152583354.60498	41272.00987146041	
17701986.510745857	65874336943.994156	42462.775784641366	
17888740.22296476	63359056659.85286	43831.83413715686	
18069669.065948512	60799901676.41478	45300.17362901069	
18269631.7800453	57681117966.12839	47144.90475144449	
18460095.151821956	54628774212.624275	49072.44460961153	
18641518.61608009	51679315421.9965	51058.83344742352	
18825984.20224114	48582980752.11838	53254.84464930866	
19007605.716074575	45531343501.31087	55546.77146041066	
19194962.624969535	42354626380.215836	58041.837338911326	
19376248.359319966	39446275427.3023	60415.0900946827	
19567130.95278647	36436899568.041115	62869.41150133494	
19765918.438692737	33441653278.921318	65154.69593212723	
19957171.998115033	30931868960.4357	66513.71672407641	
20149011.66364091	28472205102.91268	67076.59032850998	
20331847.6134488	26016062480.224453	66775.11880859712	
20525859.79233627	22154643005.539448	67809.56896739425	
20710300.245302495	16898240233.601616	71872.32058750861	
20896627.698536966	12878919209.764942	91722.12217226604	
21078072.27467876	12878919209.764942	0.0	
21269941.094710626	12878919209.764942	0.0	
21461596.785250295	12878919209.764942	0.0	
21653892.86959438	12878919209.764942	0.0	
21836468.439503785	12878919209.764942	0.0	
22020848.572802395	12878919209.764942	0.0	
22211231.518355582	12878919209.764942	0.0	
22391838.65644543	12878919209.764942	0.0	
22582765.48433486	12878919209.764942	0.0	
22788637.515201434	12878919209.764942	0.0	
22973184.53291376	12878919209.764942	0.0	
23174210.883815996	12878919209.764942	0.0	
23364395.77979387	12878919209.764942	0.0	
23547360.411559325	12878919209.764942	0.0	
23727764.473434918	12878919209.764942	0.0	
23910675.822827324	12878919209.764942	0.0	
24092042.98872903	12878919209.764942	0.0	
24294112.869880848	12878919209.764942	0.0	
24486042.00958033	12878919209.764942	0.0	
24667286.52549121	12878919209.764942	0.0	
24849981.72940804	12878919209.764942	0.0	
25032985.568957433	12878919209.764942	0.0	
25215209.274139132	12878919209.764942	0.0	
25396218.54334637	12878919209.764942	0.0	
25578105.46371728	12878919209.764942	0.0	
25760764.475833535	12878919209.764942	0.0	
25945981.041856267	12878919209.764942	0.0	
26142723.691030692	12878919209.764942	0.0	
26333423.314838815	12878919209.764942	0.0	
26521905.185534626	12878919209.764942	0.0	
26705571.5360999	12878919209.764942	0.0	
26886597.89587961	12878919209.764942	0.0	
27069517.28789437	12878919209.764942	0.0	
27252374.349585917	12878919209.764942	0.0	
27435127.862514764	12878919209.764942	0.0	
27617687.347179465	12878919209.764942	0.0	
27814769.79714808	12878919209.764942	0.0	
28009916.99111433	12878919209.764942	0.0	
28192036.142205503	12878919209.764942	0.0	
28372346.708596304	12878919209.764942	0.0	
28564851.901121423	12878919209.764942	0.0	
28747842.671409506	12878919209.764942	0.0	
28937581.20184711	12878919209.764942	0.0	
29118896.09070355	12878919209.764942	0.0	
29302172.374084968	12878919209.764942	0.0	
29495452.674338825	12878919209.764942	0.0	
29679581.47568907	12878919209.764942	0.0	
29865255.46585782	12878919209.764942	0.0	
30048195.969756234	12878919209.764942	0.0	
30230972.605224315	12878919209.764942	0.0	
30412724.811670903	12878919209.764942	0.0	
